sequence,clones,method,trial,process_wall_ms,replay_wall_ms,api_compute_ms,decode_ms,ate_m,rpe_m,rpe_rotation_deg,admitted
V1_01_easy,21,enhanced_ekf,2,16705.014765961096,16637.5311,10025.383422000006,6561.0528499999955,0.05424318385947429,0.045074218230361396,0.47293679903637703,True
V1_01_easy,21,enhanced_ekf,3,16753.66326002404,16685.719856,10072.571873999997,6562.121323000008,0.05424318385947429,0.045074218230361396,0.47293679903637703,True
V1_02_medium,11,original,1,10200.137509033084,10149.309873,6428.019629000001,3692.030277000001,0.06833866002209096,0.036313214821519606,0.24111008155526975,True
V1_02_medium,11,original,2,10186.91743700765,10136.232538,6414.863665999992,3691.774796999997,0.06833866002209096,0.036313214821519606,0.24111008155526975,True
V1_02_medium,11,original,3,10211.525616934523,10161.125536,6439.190771999995,3692.3984739999996,0.06833866002209096,0.036313214821519606,0.24111008155526975,True
V1_02_medium,11,root_messages,1,9473.640328040347,9416.181495,5690.533992000003,3691.0748679999974,0.06833873964336225,0.036313209860248656,0.24111010704894953,True
V1_02_medium,11,root_messages,2,9452.133025974035,9394.87761,5670.939642999993,3689.7915949999983,0.06833873964336225,0.036313209860248656,0.24111010704894953,True
V1_02_medium,11,root_messages,3,9467.187847942114,9408.732212,5686.142622000004,3688.5628750000033,0.06833873964336225,0.036313209860248656,0.24111010704894953,True
V1_02_medium,11,enhanced_ekf,1,9754.47939406149,9699.433612,5972.656587999986,3696.0050870000027,0.06833867398235256,0.036313215571630995,0.24111021033825755,True
V1_02_medium,11,enhanced_ekf,2,9763.586505083367,9708.475792,5982.719450999996,3695.28044900001,0.06833867398235256,0.036313215571630995,0.24111021033825755,True
V1_02_medium,11,enhanced_ekf,3,9757.60201108642,9702.482123,5976.138560999998,3696.053416000003,0.06833867398235256,0.036313215571630995,0.24111021033825755,True
V1_02_medium,21,original,1,11256.861075060442,11205.715899,7485.699307999991,3691.0438290000056,0.06300537690839046,0.03770142876980301,0.24097847187111768,True
V1_02_medium,21,original,2,11227.580134058371,11176.325338,7457.819577999993,3689.8246160000012,0.06300537690839046,0.03770142876980301,0.24097847187111768,True
V1_02_medium,21,original,3,11239.972412819043,11188.656777,7467.135349999999,3692.5380620000046,0.06300537690839046,0.03770142876980301,0.24097847187111768,True
V1_02_medium,21,root_messages,1,9879.377214005217,9821.103576,6090.262014000004,3693.4883060000043,0.0630053190948574,0.03770143470325864,0.24097841630003208,True
V1_02_medium,21,root_messages,2,9884.000395191833,9825.46177,6066.204291000005,3721.769748999999,0.0630053190948574,0.03770143470325864,0.24097841630003208,True
V1_02_medium,21,root_messages,3,9864.123516017571,9806.135558,6071.304834999998,3698.0755079999994,0.0630053190948574,0.03770143470325864,0.24097841630003208,True
V1_02_medium,21,enhanced_ekf,1,10032.59974392131,9977.578654,6245.226873999998,3701.036399000004,0.06300535899521706,0.03770142890503108,0.24097835160064776,True
V1_02_medium,21,enhanced_ekf,2,9994.05783507973,9938.848139,6206.298618000002,3702.1275409999994,0.06300535899521706,0.03770142890503108,0.24097835160064776,True
V1_02_medium,21,enhanced_ekf,3,9981.741334078833,9926.492472,6199.185292,3697.186174999999,0.06300535899521706,0.03770142890503108,0.24097835160064776,True
V1_03_difficult,11,original,1,11927.857261849567,11873.474875,8133.25335199999,3703.120442999999,0.043227460936752386,0.03425196314987177,0.26451506964420474,True
V1_03_difficult,11,original,2,11896.680095931515,11841.84613,8103.896782000008,3701.580861000002,0.043227460936752386,0.03425196314987177,0.26451506964420474,True
V1_03_difficult,11,original,3,11918.3131409809,11863.695043,8123.137824999984,3703.458764999998,0.043227460936752386,0.03425196314987177,0.26451506964420474,True
V1_03_difficult,11,root_messages,1,11478.24905696325,11415.910334,7658.959123999991,3713.228994999998,0.0432274265793499,0.03425196640698803,0.26451485260175966,True
